date,mean_temp,max_dewpoint,mean_dewpoint,min_dewpoint,max_humidity,mean_humidity,min_humidity,max_sealevel,mean_sealevel,min_sealevel,max_visibility,mean_visibility,min_visibility,max_windspeed,mean_windspeed,max_gustspeed,precip,cloudcover,events,wind_dir_deg
1/1/16,38,26,23,16,59,52,44,30.06,30.03,29.97,10,10,10,17,8,26,0,5,,281
2/1/16,52,39,33,24,61,50,39,30.08,29.85,29.73,10,10,5,14,6,21,0.01,3,Rain,267
3/1/16,46,45,28,11,80,53,25,30.19,29.99,29.62,10,10,10,15,8,25,0,3,,162
4/1/16,70,58,55,43,78,61,43,29.76,29.61,29.46,10,10,8,12,7,30,0.01,6,Rain,217
5/1/16,48,46,42,32,93,72,50,30.24,30.16,30.09,10,6,2,13,5,20,0.16,8,Rain,96
6/1/16,75,65,53,48,79,56,33,30.16,30.08,29.99,10,8,7,13,6,17,0,0,,77
7/1/16,73,70,66,56,97,75,53,30.02,29.94,29.86,10,6,0,13,3,22,0.83,4,Fog-Rain,198
8/1/16,75,69,66,62,97,82,67,30.1,30.06,30.01,10,8,3,13,5,17,T,8,Rain,69
9/1/16,74,70,68,58,93,80,66,29.96,29.87,29.83,10,5,0,10,2,16,0.5,7,Fog-Rain,315
10/1/16,59,56,54,53,93,86,78,30.26,30.2,30.14,10,9,5,16,8,23,0,8,,61
11/1/16,49,45,39,31,85,68,51,30.4,30.34,30.3,10,10,10,10,3,17,0,2,,50
12/1/16,48,51,41,27,100,73,45,29.83,29.61,29.46,10,7,2,20,8,33,0.07,5,Rain,285
