EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,42,38,34,26,23,16,59,52,44,30.06,30.03,29.97,10.0,10.0,10.0,17.0,8.0,26.0,0.00,5.0,,281
2016-1-2,40,36,32,20,18,15,52,46,40,30.1,30.02,29.96,10.0,10.0,10.0,15.0,7.0,23.0,0.00,3.0,,275
2016-1-3,45,40,35,23,21,19,56,47,37,29.94,29.86,29.79,10.0,10.0,10.0,17.0,8.0,26.0,0.00,1.0,,277
2016-1-4,36,25,14,23,9,0,59,44,28,30.32,30.05,29.87,10.0,10.0,10.0,21.0,9.0,31.0,0.00,3.0,,345
2016-1-5,29,20,11,1,-3,-6,58,41,24,30.62,30.57,30.46,10.0,10.0,10.0,20.0,5.0,30.0,0.00,0.0,,333
2016-1-6,41,33,25,9,4,-1,50,35,19,30.58,30.5,30.41,10.0,10.0,10.0,13.0,4.0,18.0,0.00,0.0,,259
2016-1-7,46,39,31,22,11,4,44,33,22,30.38,30.28,30.2,10.0,10.0,10.0,7.0,2.0,,0.00,3.0,,293
2016-1-8,46,39,31,39,29,18,70,64,58,30.22,30.2,30.17,10.0,10.0,10.0,14.0,4.0,21.0,0.00,8.0,,79
2016-1-9,47,44,40,42,38,32,83,77,70,30.23,30.16,30.06,10.0,9.0,4.0,15.0,8.0,20.0,T,8.0,Rain,76
2016-1-10,59,50,40,56,46,23,93,71,49,30.01,29.59,29.28,10.0,4.0,1.0,22.0,10.0,35.0,1.80,7.0,Rain,109
2016-1-11,40,33,26,20,8,1,49,37,25,30.11,29.92,29.63,10.0,10.0,10.0,20.0,10.0,35.0,0.00,1.0,,289
2016-1-12,44,35,25,29,15,2,75,53,31,30.1,29.85,29.64,10.0,10.0,10.0,22.0,6.0,35.0,T,4.0,,235
2016-1-13,30,26,22,7,4,2,52,42,31,30.02,29.94,29.75,10.0,10.0,10.0,21.0,10.0,35.0,0.00,0.0,,284
2016-1-14,38,30,22,22,12,1,55,47,39,29.98,29.95,29.89,10.0,10.0,10.0,15.0,5.0,23.0,T,7.0,,266
2016-1-15,51,43,34,40,31,20,76,62,48,29.95,29.82,29.54,10.0,9.0,7.0,12.0,5.0,18.0,T,2.0,,101
2016-1-16,52,47,42,41,37,29,89,70,50,29.76,29.52,29.35,10.0,8.0,2.0,15.0,7.0,22.0,0.24,7.0,Rain,340
2016-1-17,42,36,30,28,23,17,85,66,47,29.89,29.78,29.69,10.0,8.0,0.0,13.0,6.0,19.0,0.05,6.0,Fog-Snow,345
2016-1-18,31,25,18,24,6,-2,78,53,27,29.99,29.83,29.68,10.0,9.0,2.0,22.0,12.0,35.0,T,2.0,Snow,293
2016-1-19,28,22,16,11,3,0,53,42,31,30.13,30.03,29.96,10.0,10.0,10.0,20.0,11.0,34.0,0.00,1.0,,293
2016-1-20,37,32,27,16,15,12,58,49,40,30.22,30.13,30.07,10.0,10.0,10.0,14.0,6.0,22.0,0.00,2.0,,302
2016-1-21,36,31,26,14,11,5,55,45,35,30.25,30.15,30.06,10.0,10.0,10.0,15.0,6.0,23.0,0.00,1.0,,312
2016-1-22,30,26,21,18,6,3,47,41,34,30.3,30.21,30.1,10.0,9.0,1.0,16.0,7.0,22.0,0.01,3.0,Snow,34
2016-1-23,27,26,24,24,21,15,92,78,63,30.1,29.77,29.6,5.0,1.0,0.0,25.0,16.0,42.0,2.31,8.0,Fog-Snow,42
2016-1-24,35,28,20,17,11,6,68,53,38,30.1,29.92,29.74,10.0,8.0,2.0,17.0,6.0,28.0,T,3.0,Snow,327
2016-1-25,39,34,28,27,18,14,64,54,44,30.31,30.25,30.12,10.0,10.0,8.0,9.0,3.0,17.0,0.00,2.0,,286
2016-1-26,48,43,38,30,29,25,62,56,50,30.19,30.03,29.92,10.0,10.0,9.0,16.0,7.0,29.0,0.00,2.0,,244
2016-1-27,47,41,34,32,22,16,58,45,31,30.13,30.03,29.92,10.0,10.0,8.0,15.0,7.0,25.0,T,3.0,Rain,311
2016-1-28,42,37,32,23,20,16,64,51,38,30.13,29.9,29.68,10.0,10.0,10.0,14.0,5.0,22.0,0.00,1.0,,234
2016-1-29,41,36,30,26,21,15,59,50,40,29.83,29.58,29.46,10.0,10.0,7.0,17.0,8.0,32.0,0.00,4.0,,298
2016-1-30,39,34,28,22,16,14,58,46,34,30.08,30.01,29.87,10.0,10.0,10.0,16.0,7.0,25.0,0.00,0.0,,257
