"year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute"
2014,1,1,1,96,235,70,"AS","N508AS",145,"PDX","ANC",194,1542,0,1
2014,1,1,4,-6,738,-23,"US","N195UW",1830,"SEA","CLT",252,2279,0,4
2014,1,1,8,13,548,-4,"UA","N37422",1609,"PDX","IAH",201,1825,0,8
2014,1,1,28,-2,800,-23,"US","N547UW",466,"PDX","CLT",251,2282,0,28
2014,1,1,34,44,325,43,"AS","N762AS",121,"SEA","ANC",201,1448,0,34
2014,1,1,37,82,747,88,"DL","N806DN",1823,"SEA","DTW",224,1927,0,37
2014,1,1,346,227,936,219,"UA","N14219",1481,"SEA","ORD",202,1721,3,46
2014,1,1,526,-4,1148,15,"UA","N813UA",229,"PDX","IAH",217,1825,5,26
2014,1,1,527,7,917,24,"UA","N75433",1576,"SEA","DEN",136,1024,5,27
2014,1,1,536,1,1334,-6,"UA","N574UA",478,"SEA","EWR",268,2402,5,36
2014,1,1,541,1,911,4,"UA","N36476",1569,"PDX","DEN",130,991,5,41
2014,1,1,549,24,907,12,"US","N548UW",649,"PDX","PHX",122,1009,5,49
2014,1,1,550,0,837,-12,"DL","N660DL",1634,"SEA","SLC",82,689,5,50
2014,1,1,557,-3,1134,-16,"AA","N3JLAA",1094,"SEA","DFW",184,1660,5,57
2014,1,1,557,-3,825,-25,"AS","N562AS",81,"SEA","ANC",188,1448,5,57
2014,1,1,558,-2,801,-2,"AS","N402AS",200,"SEA","SJC",100,697,5,58
2014,1,1,559,-1,916,-9,"F9","N210FR",796,"PDX","DEN",125,991,5,59
2014,1,1,600,0,1151,-19,"AA","N3JFAA",2240,"SEA","ORD",206,1721,6,0
